codingre,descrip,familia,unidad,empaque,equivale,inventa1,stockmax,stockmin,ultcosto,costoprome,impuesto,pedido,status
"CHM6","MOET CHANDON 6 LTS","CHAMP","ML","",6000.00,0.00,10.00,0.00,1.00,0.00,0.00,0.000,""
"CHMC","MOET BRUT","CHAMP","ML","",750.00,0.00,10.00,0.00,830.43,826.13,16.00,0.000,""
"CHMI","MOET CHANDON ICE","CHAMP","ML","",750.00,0.00,10.00,0.00,1006.50,942.14,16.00,0.000,""
"CHMR","MOET ROSE","CHAMP","ML","",750.00,0.00,10.00,0.00,1003.23,916.27,16.00,0.000,""
"CHMU","MUMM","CHAMP","ML","",750.00,0.00,10.00,0.00,535.72,567.33,0.00,0.000,""
"CHNE","MOET NECTAR","CHAMP","ML","",750.00,0.00,10.00,0.00,883.66,808.68,16.00,0.000,""
"CHNR","MOET NECTAR ROSE","CHAMP","ML","",750.00,0.00,10.00,0.00,897.41,860.72,16.00,0.000,""
"CHPB","PERRIER G.BRUT 750","CHAMP","ML","",750.00,0.00,10.00,0.00,566.86,326.68,0.00,0.000,""
"CHPJ","PERRIER JOUDE 200 ML","CHAMP","ML","",200.00,0.00,10.00,0.00,171.98,86.49,0.00,0.000,""
"CHVC","VEUVE CLICQUOT","CHAMP","ML","",750.00,0.00,10.00,0.00,700.00,0.00,0.00,0.000,""
"CHVP","VEUVE CLIQUOT PONSARDINI","CHAMP","ML","",750.00,0.00,10.00,0.00,1.00,0.00,0.00,0.000,""
"CG01","CIGARRO BLANCO","CIGAR","pz","",10.00,0.00,10.00,0.00,49.26,49.26,0.00,0.000,""
"CG02","CIGARRO ROJO","CIGAR","pz","",10.00,0.00,10.00,0.00,49.26,49.26,0.00,0.000,""
"CIMR","CIGARRO","CIGAR","PZ","",1.00,0.00,10.00,0.00,18.76,18.78,0.00,0.000,""
"CGCV","COURVOISIER VSOP","COGNA","ML","",700.00,0.00,10.00,0.00,286.96,286.97,0.00,0.000,""
"CGCX","COURVOISIER X.O.","COGNA","ML","",700.00,0.00,10.00,0.00,1182.00,0.00,0.00,0.000,""
"CGHV","HENNESY VSOP","COGNA","ML","",700.00,0.00,10.00,0.00,905.78,887.25,16.00,0.000,""
"CGMM","MARTEL V.S.O.P MEDALLON","COGNA","ML","",700.00,0.00,10.00,0.00,564.66,564.04,16.00,0.000,""
"CGRM","REMY MARTIN","COGNA","ML","",750.00,0.00,10.00,0.00,303.48,303.48,0.00,0.000,""
"CGVS","REMY MARTIN VS","COGNA","ML","",750.00,0.00,10.00,0.00,300.00,242.00,0.00,0.000,""
"CGXO","HENNESY VSOP","COGNA","ML","",750.00,0.00,2.00,0.00,2771.97,1385.99,16.00,0.000,""
"COHV","HENNESY VS","COGNA","ML","",750.00,0.00,2.00,0.00,550.95,275.48,16.00,0.000,""
"COMV","MARTELL V.S.","COGNA","ML","",750.00,0.00,2.00,0.00,100.00,0.00,0.00,0.000,""
"MARV","MARTELL VSOP","COGNA","ML","",1.00,0.00,4.00,0.00,564.66,564.66,16.00,0.000,""
"WHCV","COUVOISIER VS","COGNA","ML","",750.00,0.00,10.00,0.00,1.00,0.00,0.00,0.000,""
"WHMX","MARTELL XO","COGNA","ML","",750.00,0.00,10.00,0.00,1800.00,0.00,0.00,0.000,""
"0110","arrachera 1kg","COMIS","PZ","A",1000.00,0.00,10.00,0.00,375.00,375.00,0.00,0.000,""
"0111","pica¤a 300g","COMIS","PZ","",1000.00,0.00,10.00,0.00,90.00,90.00,0.00,0.000,""
"0112","arrachera 300g","COMIS","PZ","",1000.00,0.00,10.00,0.00,103.43,103.43,0.00,0.000,""
"0113","arrachera 200g","COMIS","PZ","",1000.00,0.00,10.00,0.00,73.00,73.00,0.00,0.000,""
"0114","rib eye angus","COMIS","PZ","",1000.00,0.00,10.00,0.00,375.00,375.00,0.00,0.000,""
"0115","new york 300g","COMIS","PZ","",1000.00,0.00,10.00,0.00,130.00,130.00,0.00,0.000,""
"0116","tomahawk 1kg","COMIS","PZ","",1000.00,0.00,10.00,0.00,635.00,635.00,0.00,0.000,""
"0117","arrachera 100g","COMIS","PZ","",1000.00,0.00,10.00,0.00,34.88,34.88,0.00,0.000,""
"0118","vacio 300g","COMIS","PZ","",1000.00,0.00,10.00,0.00,106.00,106.00,0.00,0.000,""
"0119","rib eye choice 300g","COMIS","PZ","",1000.00,0.00,10.00,0.00,110.00,110.00,0.00,0.000,""
"0120","rib eye nacional","COMIS","GR","",1000.00,0.00,10.00,0.00,190.00,190.00,0.00,0.000,""
"0121","papa francesa","CONGE","GR","",1000.00,0.00,10.00,0.00,33.86,33.86,0.00,0.000,""
"0122","nuggets de pollo","CONGE","GR","",1000.00,0.00,10.00,0.00,68.73,68.73,0.00,0.000,""
"0123","helado vainilla","CONGE","GR","",1000.00,0.00,10.00,0.00,113.40,113.40,0.00,0.000,""
"0124","chorizo rojo","EMBUT","GR","",1000.00,0.00,10.00,0.00,73.76,73.76,0.00,0.000,""
"0125","jamon de pavo","EMBUT","GR","",1000.00,0.00,10.00,0.00,107.19,107.19,0.00,0.000,""
"0126","chistorra","EMBUT","GR","",1000.00,0.00,10.00,0.00,105.00,105.00,0.00,0.000,""
"0127","tocino","EMBUT","GR","",1000.00,0.00,10.00,0.00,89.41,89.41,0.00,0.000,""
"0128","longaniza","EMBUT","GR","",1000.00,0.00,10.00,0.00,64.00,64.00,0.00,0.000,""
"0129","clavo de olor","ESPEC","GR","",1000.00,0.00,10.00,0.00,114.95,114.95,0.00,0.000,""
"0130","tomillo","ESPEC","GR","",1000.00,0.00,10.00,0.00,86.80,86.80,0.00,0.000,""
"0131","hoja de aguacate","ESPEC","GR","",1000.00,0.00,10.00,0.00,39.00,39.00,0.00,0.000,""
"0132","comino","ESPEC","GR","",1000.00,0.00,10.00,0.00,70.76,70.76,0.00,0.000,""
"0133","nuez quebrada","ESPEC","GR","",1000.00,0.00,10.00,0.00,280.00,280.00,0.00,0.000,""
"0134","pimienta blanca mol","ESPEC","GR","",1000.00,0.00,10.00,0.00,362.50,362.50,0.00,0.000,""
"0135","romero","ESPEC","GR","",1000.00,0.00,10.00,0.00,24.11,24.11,0.00,0.000,""
"0136","pimienta negra moli","ESPEC","GR","",1000.00,0.00,10.00,0.00,276.00,276.00,0.00,0.000,""
"0137","pimienta limon","ESPEC","GR","",1000.00,0.00,10.00,0.00,315.31,315.31,0.00,0.000,""
"0138","laurel","ESPEC","GR","",1000.00,0.00,10.00,0.00,43.75,43.75,0.00,0.000,""
"0139","pepita de calabaza","ESPEC","GR","",1000.00,0.00,10.00,0.00,72.50,72.50,0.00,0.000,""
"0140","oregano seco","ESPEC","GR","",1000.00,0.00,10.00,0.00,35.00,35.00,0.00,0.000,""
"0141","pimienta negra ente","ESPEC","GR","",1000.00,0.00,10.00,0.00,528.59,528.59,0.00,0.000,""
"0142","fresa","FRUTA","GR","",1000.00,0.00,10.00,0.00,143.00,143.00,0.00,0.000,""
"0143","chile morita","FRUTA","GR","",1000.00,0.00,10.00,0.00,116.03,116.03,0.00,0.000,""
"0144","apio","FRUTA","GR","",1000.00,0.00,10.00,0.00,35.75,35.75,0.00,0.000,""
"0145","chile caribe¤o","FRUTA","GR","",1000.00,0.00,10.00,0.00,45.05,45.05,0.00,0.000,""
"0146","zarzamora","FRUTA","GR","",1000.00,0.00,10.00,0.00,210.30,210.30,0.00,0.000,""
"0147","papa alpha","FRUTA","GR","",1000.00,0.00,10.00,0.00,39.00,39.00,0.00,0.000,""
"0148","chile guajillo","FRUTA","GR","",1000.00,0.00,10.00,0.00,133.77,133.77,0.00,0.000,""
"0149","tomate verde","FRUTA","GR","",1000.00,0.00,10.00,0.00,51.75,51.75,0.00,0.000,""
"0150","huitlacoche","FRUTA","GR","",1000.00,0.00,10.00,0.00,50.05,50.05,0.00,0.000,""
"0151","limon semilla","FRUTA","GR","",1000.00,0.00,10.00,0.00,32.28,32.28,0.00,0.000,""
"0152","chile mulato","FRUTA","GR","",1000.00,0.00,10.00,0.00,128.63,128.63,0.00,0.000,""
"0153","cebolla cambray bla","FRUTA","GR","",1000.00,0.00,10.00,0.00,30.42,30.42,0.00,0.000,""
"0154","chile chiltepin","FRUTA","GR","",1000.00,0.00,10.00,0.00,568.31,568.31,0.00,0.000,""
